sweep,model,device,scale,s,n,policy,tau_max,tau_add,D,attn,traffic,reads,lb_add
A,Qwen3-4B-FP8,H100-SXM-80GB,1,0.1,2,task,12.08444910943958,12.15568263810346,11.813333602829713,0.2711155066098676,0.0712335286638806,1.3469115223880597e-05,12.155669168988235
A,Qwen3-4B-FP8,H100-SXM-80GB,1,0.1,2,pipe,13.044883988903074,13.127682415902171,12.7876984335523,0.2566779008406185,0.08330608150925373,0.006191853506865671,13.127676781762469
A,Qwen3-4B-FP8,H100-SXM-80GB,1,0.1,2,fullspec,14.728641087833644,14.815499472416333,14.428527134916624,0.3001139529170207,0.08685838458268656,1.6902419104477612e-05,14.815482569997227
A,Qwen3-4B-FP8,H100-SXM-80GB,1,0.5,2,task,16.58865563847108,16.68642345617616,16.214232642748865,0.37442299572221927,0.09776781770507463,1.4569533134328358e-05,16.686408886643026
A,Qwen3-4B-FP8,H100-SXM-80GB,1,0.5,2,pipe,13.801326335691948,13.91315047962047,13.522615058110157,0.2762391947401637,0.11429622677014926,0.03282522417671642,13.913133577201366
A,Qwen3-4B-FP8,H100-SXM-80GB,1,0.5,2,fullspec,14.728641087833644,14.815499472416333,14.428527134916624,0.3001139529170207,0.08685838458268656,1.6902419104477612e-05,14.815482569997227
A,Qwen3-4B-FP8,H100-SXM-80GB,1,0.9,2,task,21.004765510415393,21.1285606106136,20.531103789792823,0.473661720622569,0.12379510019820895,1.566995104477612e-05,21.128544940662557
A,Qwen3-4B-FP8,H100-SXM-80GB,1,0.9,2,pipe,14.545865076944873,14.686936052158982,14.246798989388578,0.29543389022353916,0.14470317254686568,0.05893902152597016,14.68691914973988
A,Qwen3-4B-FP8,H100-SXM-80GB,1,0.9,2,fullspec,14.728641087833644,14.815499472416333,14.428527134916624,0.3001139529170207,0.08685838458268656,1.6902419104477612e-05,14.815482569997227
A,Qwen3-4B-FP8,L40S-48GB,1,0.1,2,task,32.62636396668612,32.902549737352786,31.894389085948156,0.7319748807379645,0.27618577066666666,4.317866666666666e-05,32.90250655868612
A,Qwen3-4B-FP8,L40S-48GB,1,0.1,2,pipe,35.219648363917216,35.54101857403308,34.5250412005457,0.6929953148207149,0.3229820586666666,0.02398592,35.54101857403308
A,Qwen3-4B-FP8,L40S-48GB,1,0.1,2,fullspec,39.76532157274596,40.10222951941261,38.955054843110496,0.8102667296354489,0.3369079466666667,0.00019618133333333335,40.10203333807929
A,Qwen3-4B-FP8,L40S-48GB,1,0.5,2,task,44.787107105776634,45.1662663164433,43.77621609822647,1.0108910075501665,0.37915921066666664,0.00013909333333333334,45.16612722310996
A,Qwen3-4B-FP8,L40S-48GB,1,0.5,2,pipe,37.2634947385384,37.698142727729135,36.50921582537518,0.7458081396872905,0.4431187626666667,0.12723003733333335,37.6981208823958
A,Qwen3-4B-FP8,L40S-48GB,1,0.5,2,fullspec,39.76532157274596,40.10222951941261,38.955054843110496,0.8102667296354489,0.3369079466666667,0.00019618133333333335,40.10203333807929
A,Qwen3-4B-FP8,L40S-48GB,1,0.9,2,task,56.710001289375256,57.190058889375244,55.43117926330149,1.278822026073757,0.4800576,0.00012578133333333334,57.18993310804192
A,Qwen3-4B-FP8,L40S-48GB,1,0.9,2,pipe,39.31412506713314,39.82312644140844,38.46441364256481,0.7976311988436345,0.5610816,0.2285469866666667,39.8230390600751
A,Qwen3-4B-FP8,L40S-48GB,1,0.9,2,fullspec,39.76532157274596,40.10222951941261,38.955054843110496,0.8102667296354489,0.3369079466666667,0.00019618133333333335,40.10203333807929
A,Qwen3-32B-FP8,H100-SXM-80GB,1,0.1,2,task,103.34619080358148,103.47287999065732,102.38222455785751,0.9639662457239737,0.1266891870758209,7.574787820895523e-05,103.47280424277908
A,Qwen3-32B-FP8,H100-SXM-80GB,1,0.1,2,pipe,111.73935229377545,111.88750207547814,110.82671975745326,0.912632536322199,0.14814978170268658,0.011057820809552239,111.88744197798799
A,Qwen3-32B-FP8,H100-SXM-80GB,1,0.1,2,fullspec,126.11430700187124,126.26877148040022,125.04723516927741,1.0670718325938515,0.15446447852895523,7.962134925373134e-05,126.26869185905097
A,Qwen3-32B-FP8,H100-SXM-80GB,1,0.5,2,task,141.85463133305802,142.02852850718105,140.52334957049015,1.331281762567891,0.17389717412298508,0.00011362181731343285,142.02841488536373
A,Qwen3-32B-FP8,H100-SXM-80GB,1,0.5,2,pipe,118.17818097380861,118.3814237993226,117.195997170288,0.982183803520582,0.20324282551402986,0.05840548757014925,118.38134421709935
A,Qwen3-32B-FP8,H100-SXM-80GB,1,0.5,2,fullspec,126.11430700187124,126.26877148040022,125.04723516927741,1.0670718325938515,0.15446447852895523,7.962134925373134e-05,126.26869185905097
A,Qwen3-32B-FP8,H100-SXM-80GB,1,0.9,2,task,179.62036340708474,179.8405252019886,177.93623284487117,1.6841305622135787,0.22016179490388063,0.00010947446447761197,179.84041572752412
A,Qwen3-32B-FP8,H100-SXM-80GB,1,0.9,2,pipe,124.52268951771806,124.78002974848106,123.47225790803436,1.0504316096836948,0.25734023076298507,0.10487062894805971,124.77990955350074
A,Qwen3-32B-FP8,H100-SXM-80GB,1,0.9,2,fullspec,126.11430700187124,126.26877148040022,125.04723516927741,1.0670718325938515,0.15446447852895523,7.962134925373134e-05,126.26869185905097
A,Qwen3-32B-FP8,L40S-48GB,1,0.1,2,task,279.020616098619,279.5123691155079,276.41803874488403,2.6025773537349846,0.491753016888889,0.000832853333333333,279.51153626217456
A,Qwen3-32B-FP8,L40S-48GB,1,0.1,2,pipe,301.6811102562546,302.2559352929809,299.2170237380628,2.463983341584764,0.5749282133333333,0.043379522370370356,302.2551974061661
A,Qwen3-32B-FP8,L40S-48GB,1,0.1,2,fullspec,340.49142367899486,341.0913276315875,337.61047530695777,2.8809483720371514,0.5999039525925925,0.0013052586666666664,341.09002237292077
A,Qwen3-32B-FP8,L40S-48GB,1,0.5,2,task,382.98815198925206,383.6630135003633,379.39387285129607,3.594279137956147,0.6748615111111114,0.0010479691851851846,383.66196553117817
A,Qwen3-32B-FP8,L40S-48GB,1,0.5,2,pipe,319.06521373490835,319.85335401021365,316.4132038199181,2.6517622744437,0.7883879158518516,0.22680795970370374,319.85269394739885
A,Qwen3-32B-FP8,L40S-48GB,1,0.5,2,fullspec,340.49142367899486,341.0913276315875,337.61047530695777,2.8809483720371514,0.5999039525925925,0.0013052586666666664,341.09002237292077
A,Qwen3-32B-FP8,L40S-48GB,1,0.9,2,task,484.95047637465296,485.8050292540604,480.40355361527963,4.546922759373357,0.8545528794074073,0.001340757333333333,485.8036884967271
A,Qwen3-32B-FP8,L40S-48GB,1,0.9,2,pipe,336.19494931503306,337.1928004335241,333.3582515688949,2.8360220403329217,0.9985268242962961,0.40735417837037025,337.1915966646353
A,Qwen3-32B-FP8,L40S-48GB,1,0.9,2,fullspec,340.49142367899486,341.0913276315875,337.61047530695777,2.8809483720371514,0.5999039525925925,0.0013052586666666664,341.09002237292077
B,Qwen3-4B-FP8,H100-SXM-80GB,1,0.5,2,pipe,13.801326335691948,13.91315047962047,13.522615058110157,0.2762391947401637,0.11429622677014926,0.03282522417671642,13.913133577201366
B,Qwen3-4B-FP8,H100-SXM-80GB,1,0.5,2,fullspec,14.728641087833644,14.815499472416333,14.428527134916624,0.3001139529170207,0.08685838458268656,1.6902419104477612e-05,14.815482569997227
B,Qwen3-4B-FP8,H100-SXM-80GB,1,0.9,2,pipe,14.545865076944873,14.686936052158982,14.246798989388578,0.29543389022353916,0.14470317254686568,0.05893902152597016,14.68691914973988
B,Qwen3-4B-FP8,H100-SXM-80GB,1,0.9,2,fullspec,14.728641087833644,14.815499472416333,14.428527134916624,0.3001139529170207,0.08685838458268656,1.6902419104477612e-05,14.815482569997227
B,Qwen3-4B-FP8,H100-SXM-80GB,2,0.5,2,pipe,25.267921395875508,25.47952369350757,24.312941081354218,0.9541258945509612,0.21245671760238807,0.06571242389014925,25.479427913132643
B,Qwen3-4B-FP8,H100-SXM-80GB,2,0.5,2,fullspec,26.218836154973395,26.370967830674886,25.218853158160684,0.9999829968127094,0.15213167570149255,1.6902419104477612e-05,26.370950928255784
B,Qwen3-4B-FP8,H100-SXM-80GB,2,0.9,2,pipe,26.030424073192513,26.29707679691512,25.03712501263264,0.9910024942526285,0.26894929002985074,0.11791184789014925,26.297009187238707
B,Qwen3-4B-FP8,H100-SXM-80GB,2,0.9,2,fullspec,26.218836154973395,26.370967830674886,25.218853158160684,0.9999829968127094,0.15213167570149255,1.6902419104477612e-05,26.370950928255784
B,Qwen3-4B-FP8,H100-SXM-80GB,4,0.5,2,pipe,49.42637426371377,49.834318661581364,45.89359312784233,3.5319647368912785,0.4087607968477612,0.13146992089791049,49.83408202771392
