n,s1,policy,k,mode,measured,ideal,lb,ratio,tok_s,cache_hit,cache_hit_w1,agreement,waves
2,0.5,task,0,waves,61.6535108089447,17.395661645273453,17.39566164527345,3.5441888941140953,78882.20696905426,0.058889038321801736,0.0586665675316672,0.9917394224311619,2
2,0.5,block,1,waves,64.44501805305481,13.896765577672918,13.894764779240585,4.637411323725189,77703.47734059842,0.0005620289564663068,0.000469140083706545,0.9219288174512055,2
2,0.5,block,1,manifest,53.75857663154602,14.086794446424694,14.08287549757083,3.816239161861998,67868.68679590398,0.3136706649139691,0.0002905637163099316,0.9273296476387131,7
2,0.5,block,2,waves,89.50669527053833,14.958996755231952,14.958996755231952,5.983469127983673,79217.55996653227,0.000469140083706545,0.000469140083706545,0.94435,1
2,0.5,block,2,manifest,52.7516872882843,14.958996755231952,14.958996755231952,3.5264187934150226,71089.40382335149,0.4713594771794644,0.47131464382488536,0.94435,5
4,0.8,task,0,waves,122.76780843734741,34.289141655555106,34.289141655555106,3.58036983458459,78040.41728813163,0.057525575136231036,0.05731834658701682,0.9812732778725329,4
4,0.8,block,1,waves,111.27830743789673,15.921283659400405,15.91393134337009,6.9892798733093775,77842.15270199228,0.0003803615719872934,0.0004634507049830054,0.8772675617660676,4
4,0.8,block,1,manifest,73.99647641181946,16.915504810325874,16.907506914189646,4.374476389652242,54341.72267367194,0.6229327908046184,0.00027243626126637456,0.8601441392439488,14
4,0.95,task,0,waves,158.3276493549347,44.41324964517631,44.41324964517631,3.5648742350500475,78321.99903505675,0.05757195163973086,0.057439504734460814,0.9958089984858317,4
4,0.95,block,1,waves,153.67485117912292,17.55275200578341,17.53359602069564,8.75502890535279,78587.64077098829,0.0005852359017068497,0.0005349790940891719,0.9421183010090025,4
4,0.95,block,1,manifest,84.19001722335815,18.28954132381022,18.250814077743474,4.603178162470126,49581.57911911991,0.6895996842363724,0.00029065443798671845,0.9304958055495806,17
