n,s1,policy,k,mode,measured,ideal,lb,ratio,tok_s,cache_hit,cache_hit_w1,agreement,waves
2,0.5,task,0,waves,61.57298731803894,17.395661645273453,17.39566164527345,3.539559953143193,78985.36699022865,0.058889038321801736,0.0586665675316672,0.9917394224311619,2
2,0.5,block,1,waves,63.459895610809326,13.896765577672918,13.894764779240585,4.5665227103468204,78909.71064167713,0.0005620289564663068,0.000469140083706545,0.9219288174512055,2
2,0.5,block,1,manifest,66.85701417922974,14.086794446424694,14.08287549757083,4.746077216750928,74720.83612061711,0.060267915927701976,0.0002905637163099316,0.9267967761273563,7
2,0.5,block,2,waves,88.77781844139099,14.958996755231952,14.958996755231952,5.9347441472196785,79867.94589552774,0.000469140083706545,0.000469140083706545,0.94435,1
2,0.5,block,2,manifest,53.12403225898743,14.958996755231952,14.958996755231952,3.551309832352704,70591.1400271309,0.4713594771794644,0.47131464382488536,0.94435,5
4,0.8,task,0,waves,121.19843792915344,34.289141655555106,34.289141655555106,3.5346011033646962,79050.94458065943,0.057525575136231036,0.05731834658701682,0.9812732778725329,4
4,0.8,block,1,waves,110.02697348594666,15.921283659400405,15.91393134337009,6.910684831683368,78727.44951133628,0.0003803615719872934,0.0004634507049830054,0.8772675617660676,4
4,0.8,block,1,manifest,113.12990355491638,16.915504810325874,16.907506914189646,6.687941319129745,70316.54540515426,0.2540507735460238,0.00027243626126637456,0.8594642371498504,14
4,0.95,task,0,waves,156.077330827713,44.41324964517631,44.41324964517631,3.5142065053702836,79451.24339477855,0.05757195163973086,0.057439504734460814,0.9958089984858317,4
4,0.95,block,1,waves,151.22676706314087,17.55275200578341,17.53359602069564,8.615558803161667,79859.83060100452,0.0005852359017068497,0.0005349790940891719,0.9421183010090025,4
4,0.95,block,1,manifest,105.70356869697571,18.28954132381022,18.250814077743474,5.779454324497774,45111.38137322349,0.6454177614363557,0.00029065443798671845,0.9300924930092493,17
