model,device,s,policy,tau,LB,lp_target,batches
Qwen3-4B-FP8,H100-SXM-80GB,0.5,task,20.678897606226528,20.678897606226528,20.697457078620758,7
Qwen3-4B-FP8,H100-SXM-80GB,0.5,k=1,14.510315380844816,14.505213851496908,14.495095282672382,9
Qwen3-4B-FP8,H100-SXM-80GB,0.5,k=2,15.660807626272858,14.505213851496908,15.66192406630128,6
Qwen3-4B-FP8,H100-SXM-80GB,0.5,k=4,18.462836606882863,18.46283660688286,18.462800361721403,5
Qwen3-4B-FP8,H100-SXM-80GB,0.65,task,25.978286709465582,25.978286709465582,25.90907682268616,8
Qwen3-4B-FP8,H100-SXM-80GB,0.65,k=1,15.404073263420747,15.398682033850019,15.376697017487604,11
Qwen3-4B-FP8,H100-SXM-80GB,0.65,k=2,16.320183221006356,15.398682033850019,16.306206417058203,7
Qwen3-4B-FP8,H100-SXM-80GB,0.65,k=4,18.462836606882863,18.46283660688286,18.462800361721403,5
Qwen3-4B-FP8,H100-SXM-80GB,0.8,task,32.45523259867004,32.45523259867004,32.586076489564746,10
Qwen3-4B-FP8,H100-SXM-80GB,0.8,k=1,16.495724145460265,16.485538467284275,16.533337799215666,12
Qwen3-4B-FP8,H100-SXM-80GB,0.8,k=2,17.11183695413865,16.485538467284275,17.118420551629658,8
Qwen3-4B-FP8,H100-SXM-80GB,0.8,k=4,18.462836606882863,18.46283660688286,18.462800361721403,5
Qwen3-4B-FP8,H100-SXM-80GB,0.9,task,38.02336343203612,38.02336343203612,37.96189601883913,12
Qwen3-4B-FP8,H100-SXM-80GB,0.9,k=1,17.437501543437758,17.422369715091858,17.599698430576538,14
Qwen3-4B-FP8,H100-SXM-80GB,0.9,k=2,17.758953925822933,17.422369715091858,17.753134207395924,8
Qwen3-4B-FP8,H100-SXM-80GB,0.9,k=4,18.462836606882863,18.46283660688286,18.462800361721403,5
Qwen3-4B-FP8,H100-SXM-80GB,0.95,task,40.88406916997162,40.88406916997162,40.95198865742678,12
Qwen3-4B-FP8,H100-SXM-80GB,0.95,k=1,17.92831747579359,17.89958845032056,18.37243813713221,16
Qwen3-4B-FP8,H100-SXM-80GB,0.95,k=2,18.084373081084376,17.89958845032056,18.098575220115652,8
Qwen3-4B-FP8,H100-SXM-80GB,0.95,k=4,18.462836606882863,18.46283660688286,18.462800361721403,5
Qwen3-32B-FP8,L40S-48GB,0.5,task,477.4807560417028,477.4807560417029,477.87110814664464,60
Qwen3-32B-FP8,L40S-48GB,0.5,k=1,335.34782020388974,335.3469034390778,335.06024689941876,71
Qwen3-32B-FP8,L40S-48GB,0.5,k=2,361.9758685094145,335.3469034390778,361.96522748342176,53
Qwen3-32B-FP8,L40S-48GB,0.5,k=4,426.542527791523,426.54252779152307,426.4716034930374,53
Qwen3-32B-FP8,L40S-48GB,0.65,task,599.8090346425703,599.8090346425704,598.1990531779701,76
Qwen3-32B-FP8,L40S-48GB,0.65,k=1,355.9367028898485,355.93522435040984,355.3893236224684,88
Qwen3-32B-FP8,L40S-48GB,0.65,k=2,377.166673066529,355.93522435040984,376.79637141121003,61
Qwen3-32B-FP8,L40S-48GB,0.65,k=4,426.542527791523,426.54252779152307,426.4716034930374,53
Qwen3-32B-FP8,L40S-48GB,0.8,task,749.3362263466083,749.3362263466084,752.360272666077,93
Qwen3-32B-FP8,L40S-48GB,0.8,k=1,380.98022567702105,380.97806870640875,383.5134772647049,109
Qwen3-32B-FP8,L40S-48GB,0.8,k=2,395.4095482540084,380.97806870640875,395.5267031883494,69
Qwen3-32B-FP8,L40S-48GB,0.8,k=4,426.542527791523,426.54252779152307,426.4716034930374,53
Qwen3-32B-FP8,L40S-48GB,0.9,task,877.8550630019678,877.8550630019681,876.4793284886994,110
Qwen3-32B-FP8,L40S-48GB,0.9,k=1,402.5769153662364,402.5650278183018,406.30277857529967,128
Qwen3-32B-FP8,L40S-48GB,0.9,k=2,410.32202113301713,402.5650278183018,410.1494855533927,77
Qwen3-32B-FP8,L40S-48GB,0.9,k=4,426.542527791523,426.54252779152307,426.4716034930374,53
Qwen3-32B-FP8,L40S-48GB,0.95,task,943.95057650386,943.9505765038597,945.515774578952,118
Qwen3-32B-FP8,L40S-48GB,0.95,k=1,413.5618335870325,413.5597387572988,427.19594706491773,137
Qwen3-32B-FP8,L40S-48GB,0.95,k=2,417.81871118370645,413.5597387572988,418.11386017542964,80
Qwen3-32B-FP8,L40S-48GB,0.95,k=4,426.542527791523,426.54252779152307,426.4716034930374,53
