model,n,s,gpus,policy,makespan,LB,tokens_max,tokens_min
Qwen3-4B-FP8,2,0.5,1,task,16.53858733833081,16.53858733833081,2965841,2965841
Qwen3-4B-FP8,2,0.5,1,k=1,13.797595499522524,13.794832136649411,2965841,2965841
Qwen3-4B-FP8,2,0.5,1,k=2,14.728641087833648,14.728641087833646,2965841,2965841
Qwen3-4B-FP8,2,0.5,2,task,8.276702282438952,8.276702282438954,1482930,1482911
Qwen3-4B-FP8,2,0.5,2,k=1,6.902544219014326,6.900488344918023,1482930,1482911
Qwen3-4B-FP8,2,0.5,2,k=2,7.364410591599377,7.364410591599377,1482930,1482911
Qwen3-4B-FP8,2,0.5,4,task,4.142383464040263,4.142383464040263,741472,741453
Qwen3-4B-FP8,2,0.5,4,k=1,3.4550075065302965,3.451517222965813,741472,741453
Qwen3-4B-FP8,2,0.5,4,k=2,3.6824106771305427,3.6824106771305427,741472,741453
Qwen3-4B-FP8,2,0.5,8,task,2.0863899496092007,2.0863899496092007,370744,370724
Qwen3-4B-FP8,2,0.5,8,k=1,1.7297623106281474,1.727982152608275,370744,370724
Qwen3-4B-FP8,2,0.5,8,k=2,1.8416884774973057,1.8416884774973057,370744,370724
Qwen3-32B-FP8,4,0.8,1,task,277.2538509294925,277.25385092949244,2965841,2965841
Qwen3-32B-FP8,4,0.8,1,k=1,141.19167867964953,141.19167867964953,2965841,2965841
Qwen3-32B-FP8,4,0.8,1,k=4,157.98669675148378,157.9866967514838,2965841,2965841
Qwen3-32B-FP8,4,0.8,2,task,139.21336215419126,139.21336215419123,1482930,1482911
Qwen3-32B-FP8,4,0.8,2,k=1,70.65913233545223,70.65913233545223,1482930,1482911
Qwen3-32B-FP8,4,0.8,2,k=4,78.9988615417589,78.9988615417589,1482930,1482911
Qwen3-32B-FP8,4,0.8,4,task,70.29521690998415,70.29521690998415,741472,741453
Qwen3-32B-FP8,4,0.8,4,k=1,35.405467560365466,35.405467560365466,741472,741453
Qwen3-32B-FP8,4,0.8,4,k=4,39.50279959159682,39.50279959159682,741472,741453
Qwen3-32B-FP8,4,0.8,8,task,35.30463132794011,35.30463132794011,370744,370724
Qwen3-32B-FP8,4,0.8,8,k=1,17.79374423364017,17.793744233640165,370744,370724
Qwen3-32B-FP8,4,0.8,8,k=4,19.75075956543308,19.750759565433082,370744,370724
