model,device,n,policy,k,tau,batches
Qwen3-4B-FP8,H100-SXM-80GB,1,task,0,11.03882503423405,3
Qwen3-4B-FP8,H100-SXM-80GB,1,k=1,1,12.861543328309036,4
Qwen3-4B-FP8,H100-SXM-80GB,2,task,0,19.862864749772385,6
Qwen3-4B-FP8,H100-SXM-80GB,2,k=1,1,14.351566634038823,7
Qwen3-4B-FP8,H100-SXM-80GB,2,k=2,2,14.728641087833644,4
Qwen3-4B-FP8,H100-SXM-80GB,3,task,0,27.066364139389606,8
Qwen3-4B-FP8,H100-SXM-80GB,3,k=1,1,15.564211994751536,10
Qwen3-4B-FP8,H100-SXM-80GB,3,k=2,2,15.928546838012235,7
Qwen3-4B-FP8,H100-SXM-80GB,3,k=3,3,16.595738847358255,5
Qwen3-4B-FP8,H100-SXM-80GB,4,task,0,32.85433605460264,10
Qwen3-4B-FP8,H100-SXM-80GB,4,k=1,1,16.559831149818308,12
Qwen3-4B-FP8,H100-SXM-80GB,4,k=2,2,17.142760216224147,8
Qwen3-4B-FP8,H100-SXM-80GB,4,k=4,4,18.462836606882863,5
Qwen3-4B-FP8,H100-SXM-80GB,5,task,0,37.27021264289361,12
Qwen3-4B-FP8,H100-SXM-80GB,5,k=1,1,17.31917418251801,15
Qwen3-4B-FP8,H100-SXM-80GB,5,k=2,2,17.925209924894837,10
Qwen3-4B-FP8,H100-SXM-80GB,5,k=5,5,20.329934366407468,6
Qwen3-4B-FP8,H100-SXM-80GB,6,task,0,40.58719427786317,13
Qwen3-4B-FP8,H100-SXM-80GB,6,k=1,1,17.87878016386107,16
Qwen3-4B-FP8,H100-SXM-80GB,6,k=2,2,18.627627599253152,10
Qwen3-4B-FP8,H100-SXM-80GB,6,k=6,6,22.197032125932083,6
Qwen3-32B-FP8,L40S-48GB,1,task,0,254.8688511396049,32
Qwen3-32B-FP8,L40S-48GB,1,k=1,1,297.4658716227308,37
Qwen3-32B-FP8,L40S-48GB,2,task,0,458.590668921265,57
Qwen3-32B-FP8,L40S-48GB,2,k=1,1,331.74549673779,67
Qwen3-32B-FP8,L40S-48GB,2,k=2,2,340.49142367899486,42
Qwen3-32B-FP8,L40S-48GB,3,task,0,624.8925680490019,79
Qwen3-32B-FP8,L40S-48GB,3,k=1,1,359.6202639370678,91
Qwen3-32B-FP8,L40S-48GB,3,k=2,2,368.08535710684754,66
Qwen3-32B-FP8,L40S-48GB,3,k=3,3,383.51697573525894,47
Qwen3-32B-FP8,L40S-48GB,4,task,0,758.5802390277212,96
Qwen3-32B-FP8,L40S-48GB,4,k=1,1,382.436672482266,111
Qwen3-32B-FP8,L40S-48GB,4,k=2,2,396.12309506943194,70
Qwen3-32B-FP8,L40S-48GB,4,k=4,4,426.542527791523,53
Qwen3-32B-FP8,L40S-48GB,5,task,0,860.4982023115307,109
Qwen3-32B-FP8,L40S-48GB,5,k=1,1,399.9950072611965,126
Qwen3-32B-FP8,L40S-48GB,5,k=2,2,414.1209248583457,85
Qwen3-32B-FP8,L40S-48GB,5,k=5,5,469.5680798477871,58
Qwen3-32B-FP8,L40S-48GB,6,task,0,937.0915297299554,117
Qwen3-32B-FP8,L40S-48GB,6,k=1,1,412.75497838455186,137
Qwen3-32B-FP8,L40S-48GB,6,k=2,2,430.3384659398974,87
Qwen3-32B-FP8,L40S-48GB,6,k=6,6,512.5936319040514,63
