n,s,think,task,pipeline,fullspec,best,K,block_docs,lam_pipe,binding,ideal_task,ideal_pipe
2,0.5,0,64.90778170793331,44.022233451238,45.64805457301668,44.022233451238,11,2940.7286135693216,227.15794306703395,compute,18.882263769580597,12.806467913087417
2,0.5,32,70.91081354219303,50.02526528549773,53.652097018696324,50.02526528549773,11,2687.0808625336927,199.8989898989899,compute,20.628600303183426,14.552804446690246
2,0.5,128,88.91990904497221,68.03436078827691,77.66422435573523,68.03436078827691,11,2134.704496788009,146.9845513963161,compute,25.867609903991912,19.791814047498733
2,0.5,512,160.95629105608896,140.07074279939363,173.71273370389088,140.07074279939363,11,1171.4535840188014,71.39249639249638,compute,109.86783904477613,110.44292171667172
3,0.9,0,117.26672561899952,47.9567205659424,48.89969681657404,47.9567205659424,111,2940.7286135693216,208.5213476232096,compute,34.113956543708944,13.951045982819604
3,0.9,32,128.11220313289542,58.8021980798383,60.905760485093495,58.8021980798383,111,2687.0808625336927,170.06166991279076,compute,37.26900454775139,17.10609398686205
3,0.9,128,160.64863567458315,91.33863062152602,96.92395149065186,91.33863062152602,111,2134.704496788009,109.48270115233447,compute,46.734148559878726,33.26356080786849
3,0.9,512,290.79436584133407,221.48436078827692,240.99671551288534,221.48436078827692,111,1171.4535840188014,45.14991471365908,compute,197.78156910805973,196.5916433539927
4,0.8,0,127.73851440121274,48.74361798888327,52.15133906013139,48.74361798888327,1111,2940.7286135693216,205.15506260287555,compute,37.16029509853462,14.179961596766043
4,0.8,32,139.5524810510359,60.55758463870643,68.15942395149067,60.55758463870643,1111,2687.0808625336927,165.1320814669403,compute,40.59708539666499,17.61675189489641
4,0.8,128,174.99438100050534,95.99948458817586,116.18367862556848,95.99948458817586,1111,2134.704496788009,104.16722592729096,compute,50.90745629105609,36.70323350790027
4,0.8,512,316.7619807983831,237.7670843860536,308.28069732187976,237.7670843860536,1111,1171.4535840188014,42.057966205967226,compute,215.915598702806,217.58617078245396
4,0.95,0,160.53317110914605,51.2079563542193,52.15133906013139,51.2079563542193,1111,2940.7286135693216,195.28215363306614,compute,46.70055886811521,14.896860030318342
4,0.95,32,175.3801695932289,66.05495483830218,68.15942395149067,66.05495483830218,1111,2687.0808625336927,151.38909752461853,compute,51.01968569984841,19.21598686205154
4,0.95,128,219.9211650454775,110.59595029055079,116.18367862556848,110.59595029055079,1111,2134.704496788009,90.41922397455441,compute,63.977066195048,45.441584417798765
4,0.95,512,398.08514685447193,288.75993209954515,308.28069732187976,288.75993209954515,1111,1171.4535840188014,34.63084343901516,compute,271.38580503689553,268.5972605924121
